# t, p_1, p_2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C
42000.000000,107004.518571,102495.602717,0.000156,0.000084,0.000892,0.000689,0.000009,0.000078,0.000798,0.000023,0.016141
42600.000000,107030.301026,102520.053015,0.000153,0.000084,0.000894,0.000689,0.000009,0.000078,0.000801,0.000023,0.015875
43200.000000,107065.423219,102532.425665,0.000151,0.000084,0.000896,0.000690,0.000008,0.000079,0.000803,0.000023,0.015609
43800.000000,107092.558293,102537.079613,0.000148,0.000083,0.000898,0.000690,0.000009,0.000080,0.000806,0.000023,0.015319
44400.000000,107109.776995,102544.696096,0.000146,0.000083,0.000900,0.000691,0.000009,0.000080,0.000809,0.000023,0.014999
45000.000000,107136.884347,102565.588093,0.000143,0.000083,0.000902,0.000691,0.000009,0.000080,0.000812,0.000023,0.014660
45600.000000,107164.578133,102575.332928,0.000141,0.000082,0.000905,0.000691,0.000009,0.000080,0.000814,0.000023,0.014317
46200.000000,107182.568076,102578.825306,0.000138,0.000082,0.000907,0.000692,0.000009,0.000081,0.000817,0.000023,0.014007
46800.000000,107193.745266,102579.531025,0.000135,0.000082,0.000909,0.000692,0.000009,0.000081,0.000820,0.000023,0.013736
47400.000000,107219.070744,102584.785886,0.000133,0.000082,0.000911,0.000692,0.000009,0.000081,0.000823,0.000023,0.013531
48000.000000,107250.062215,102594.381449,0.000130,0.000081,0.000913,0.000692,0.000009,0.000081,0.000826,0.000023,0.013316
48600.000000,107278.724496,102607.018383,0.000127,0.000081,0.000915,0.000692,0.000009,0.000082,0.000828,0.000023,0.013094
49200.000000,107304.672119,102619.484762,0.000125,0.000081,0.000917,0.000692,0.000009,0.000082,0.000831,0.000023,0.012863
49800.000000,107324.847636,102626.569507,0.000122,0.000080,0.000919,0.000693,0.000009,0.000083,0.000833,0.000023,0.012610
50400.000000,107345.412968,102631.382253,0.000119,0.000080,0.000921,0.000693,0.000009,0.000083,0.000836,0.000023,0.012354
51000.000000,107355.222658,102633.218199,0.000117,0.000080,0.000923,0.000693,0.000009,0.000083,0.000839,0.000023,0.012132
