x_m,y_m,Sg,C_kgm3
0.735,0.005,0,0.947072504146559
0.745,0.005,0,0.946796940473986
0.755,0.005,0,0.946843527558806
0.765,0.005,0,0.94716251440066
0.775,0.005,0,0.947707154346768
0.785,0.005,0,0.948434463535406
0.795,0.005,0,0.94930548420058
0.805,0.005,0,0.95028525985455
0.815,0.005,0,0.951342654307954
0.825,0.005,0,0.952450039369609
0.835,0.005,0,0.953582873102112
0.845,0.005,0,0.954719277343176
0.855,0.005,0,0.955839773630722
0.865,0.005,0,0.956927287802787
0.875,0.005,0,0.957971562504955
0.885,0.005,0,0.958976137478953
0.895,0.005,0,0.959950959657738
0.905,0.005,0,0.96090444928259
0.915,0.005,0,0.961840595827105
0.925,0.005,0,0.962765241396917
0.935,0.005,0,0.963682822045331
0.945,0.005,0,0.964596527827518
0.955,0.005,0,0.965509013284156
0.965,0.005,0,0.966422545548811
0.975,0.005,0,0.967339138324541
0.985,0.005,0,0.968260619025315
0.995,0.005,0,0.969188643185227
1.005,0.005,0,0.970124628516771
1.015,0.005,0,0.971069628844622
1.025,0.005,0,0.97202416284781
1.035,0.005,0,0.972988012537723
1.045,0.005,0,0.973960055327745
1.055,0.005,0,0.974938176591977
1.065,0.005,0,0.975919298333132
1.075,0.005,0,0.976899567043831
1.085,0.005,0,0.977874654211709
1.095,0.005,0,0.978840141078641
1.105,0.005,0,0.979791908350716
1.115,0.005,0,0.980726458243512
1.125,0.005,0,0.981641150299714
1.135,0.005,0,0.982534331202571
1.145,0.005,0,0.983405372880471
1.155,0.005,0,0.984254657904593
1.165,0.005,0,0.985083543097421
1.175,0.005,0,0.985894298679595
1.185,0.005,0,0.986690005131831
1.195,0.005,0,0.987474377927097
1.205,0.005,0,0.988251504136408
1.215,0.005,0,0.989025520407797
1.225,0.005,0,0.989800292354242
1.235,0.005,0,0.990579181645955
1.245,0.005,0,0.99136492504666
1.255,0.005,0,0.99215962208688
1.265,0.005,0,0.992964791599951
1.275,0.005,0,0.993781442038548
1.285,0.005,0,0.994610091198664
1.295,0.005,0,0.995450678807436
1.305,0.005,0,0.996302306850378
1.315,0.005,0,0.997162792441526
1.325,0.005,0,0.998028101852721
