t_s,p1_Pa,p2_Pa,mobA_kg,immobA_kg,dissA_kg,sealA_kg,mobB_kg,immobB_kg,dissB_kg,sealB_kg,M_C,CO2tot_kg
102600,109484.854546532,103624.930307719,0.00165285642272186,5.07105709356213e-07,0.00117541982162464,0.00029704496454619,0,0,0.000688428128933412,7.71973694649458e-11,1.77133143240295,0.00855685169272332
103200,109484.854546532,103624.930307719,0.00164944547593478,5.21691958131308e-07,0.00117988451584158,0.000297670170105517,0,0,0.000686133289987795,1.00144447373877e-10,1.77376270462356,0.00855681259333341
103800,109484.854546532,103624.930307719,0.00164608966677476,6.23827349566574e-07,0.00118403504986747,0.000298298735077919,0,0,0.000684065288245341,1.28400213261144e-10,1.77656368313615,0.00855680700313988
104400,109484.854546532,103624.930307719,0.0016430633651124,6.47721180708388e-07,0.0011878747127701,0.000298928388461623,0,0,0.000682137315217638,1.62336690054888e-10,1.7774165217135,0.00855680946008073
105000,109484.854546532,103624.930307719,0.00164009533034103,6.67185557508004e-07,0.00119160705844086,0.00029955780948233,0,0,0.000680258910167413,2.02989614821478e-10,1.77445600622352,0.00855678665563086
105600,109484.854546532,103624.930307719,0.00163720519836227,6.03243050885378e-07,0.00119524738005762,0.000300186620613208,0,0,0.000678422130309016,2.50804200664453e-10,1.76911554206223,0.00855679056234525
106200,109484.854546532,103624.930307719,0.00163407558602496,6.34192711621611e-07,0.00119891617942261,0.00030081458033814,0,0,0.000676598750662117,3.06984778785961e-10,1.76188134227982,0.0085567900067201
106800,109484.854546532,103624.930307719,0.00163111125451616,5.09523451766261e-07,0.00120256219658126,0.0003014423408928,0,0,0.000674799390490409,3.73025936078279e-10,1.75344039495492,0.00855679610951535
107400,109484.854546532,103624.930307719,0.00162794933272014,6.54990751618879e-07,0.00120607741071944,0.000302069953219729,0,0,0.000673044529814333,4.4994127746944e-10,1.7442958786965,0.00855680405364093
108000,109484.854546532,103624.930307719,0.00162515096201837,4.03406614674118e-07,0.00120964003681933,0.000302697982609481,0,0,0.000671295836543166,5.38721389048453e-10,1.73535712487025,0.00855683047558538
108600,109484.854546532,103624.930307719,0.00162185274354736,5.37332149017294e-07,0.00121316006228036,0.000303323952063219,0,0,0.000669536598233071,6.41728234260543e-10,1.72671701598914,0.00855683162197688
