# x, y, gas saturation, co2 concentration 
5.050000e-01, 3.500000e-02, 0.000000e+00, 1.604912e+00 
5.150000e-01, 3.500000e-02, 0.000000e+00, 1.606944e+00 
5.250000e-01, 3.500000e-02, 0.000000e+00, 1.608929e+00 
5.350000e-01, 3.500000e-02, 0.000000e+00, 1.610879e+00 
5.450000e-01, 3.500000e-02, 0.000000e+00, 1.612796e+00 
5.550000e-01, 3.500000e-02, 0.000000e+00, 1.614677e+00 
5.650000e-01, 3.500000e-02, 0.000000e+00, 1.616509e+00 
5.750000e-01, 3.500000e-02, 0.000000e+00, 1.618276e+00 
5.850000e-01, 3.500000e-02, 0.000000e+00, 1.619956e+00 
5.950000e-01, 3.500000e-02, 0.000000e+00, 1.621533e+00 
6.050000e-01, 3.500000e-02, 0.000000e+00, 1.622994e+00 
6.150000e-01, 3.500000e-02, 0.000000e+00, 1.624332e+00 
6.250000e-01, 3.500000e-02, 0.000000e+00, 1.625541e+00 
6.350000e-01, 3.500000e-02, 0.000000e+00, 1.626619e+00 
6.450000e-01, 3.500000e-02, 0.000000e+00, 1.627568e+00 
6.550000e-01, 3.500000e-02, 0.000000e+00, 1.628390e+00 
6.650000e-01, 3.500000e-02, 0.000000e+00, 1.629091e+00 
6.750000e-01, 3.500000e-02, 0.000000e+00, 1.629675e+00 
6.850000e-01, 3.500000e-02, 0.000000e+00, 1.630147e+00 
6.950000e-01, 3.500000e-02, 0.000000e+00, 1.630514e+00 
7.050000e-01, 3.500000e-02, 0.000000e+00, 1.630786e+00 
7.150000e-01, 3.500000e-02, 0.000000e+00, 1.630967e+00 
7.250000e-01, 3.500000e-02, 0.000000e+00, 1.631075e+00 
7.350000e-01, 3.500000e-02, 0.000000e+00, 1.631113e+00 
7.450000e-01, 3.500000e-02, 0.000000e+00, 1.631087e+00 
7.550000e-01, 3.500000e-02, 0.000000e+00, 1.630996e+00 
7.650000e-01, 3.500000e-02, 0.000000e+00, 1.630843e+00 
7.750000e-01, 3.500000e-02, 0.000000e+00, 1.630629e+00 
7.850000e-01, 3.500000e-02, 0.000000e+00, 1.630355e+00 
7.950000e-01, 3.500000e-02, 0.000000e+00, 1.630027e+00 
8.050000e-01, 3.500000e-02, 0.000000e+00, 1.629649e+00 
8.150000e-01, 3.500000e-02, 0.000000e+00, 1.629225e+00 
8.250000e-01, 3.500000e-02, 0.000000e+00, 1.628754e+00 
8.350000e-01, 3.500000e-02, 0.000000e+00, 1.628229e+00 
8.450000e-01, 3.500000e-02, 0.000000e+00, 1.627631e+00 
8.550000e-01, 3.500000e-02, 0.000000e+00, 1.626934e+00 
8.650000e-01, 3.500000e-02, 0.000000e+00, 1.626100e+00 
8.750000e-01, 3.500000e-02, 0.000000e+00, 1.625083e+00 
8.850000e-01, 3.500000e-02, 0.000000e+00, 1.623836e+00 
8.950000e-01, 3.500000e-02, 0.000000e+00, 1.622325e+00 
9.050000e-01, 3.500000e-02, 0.000000e+00, 1.620545e+00 
9.150000e-01, 3.500000e-02, 0.000000e+00, 1.618524e+00 
9.250000e-01, 3.500000e-02, 0.000000e+00, 1.616307e+00 
9.350000e-01, 3.500000e-02, 0.000000e+00, 1.613904e+00 
9.450000e-01, 3.500000e-02, 0.000000e+00, 1.611267e+00 
9.550000e-01, 3.500000e-02, 0.000000e+00, 1.608303e+00 
9.650000e-01, 3.500000e-02, 0.000000e+00, 1.604924e+00 
9.750000e-01, 3.500000e-02, 0.000000e+00, 1.601101e+00 
9.850000e-01, 3.500000e-02, 0.000000e+00, 1.596847e+00 
9.950000e-01, 3.500000e-02, 0.000000e+00, 1.592184e+00 
1.005000e+00, 3.500000e-02, 0.000000e+00, 1.587115e+00 
1.015000e+00, 3.500000e-02, 0.000000e+00, 1.581643e+00 
1.025000e+00, 3.500000e-02, 0.000000e+00, 1.575781e+00 
1.035000e+00, 3.500000e-02, 0.000000e+00, 1.569579e+00 
1.045000e+00, 3.500000e-02, 0.000000e+00, 1.563137e+00 
1.055000e+00, 3.500000e-02, 0.000000e+00, 1.556581e+00 
1.065000e+00, 3.500000e-02, 0.000000e+00, 1.550054e+00 
1.075000e+00, 3.500000e-02, 0.000000e+00, 1.543686e+00 
