#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
1.650e+04,113900.000000,108000.000000,0.001208,0.000332,0.003321,0.001449,0.000000,0.000000,0.000000,0.000000,1.505780,0.007410
1.680e+04,113900.000000,108000.000000,0.000862,0.000349,0.003395,0.001481,0.000000,0.000000,0.000000,0.000000,1.469160,0.007590
1.710e+04,113900.000000,108000.000000,0.000553,0.000360,0.003461,0.001493,0.000000,0.000000,0.000000,0.000000,1.435810,0.007760
1.740e+04,113900.000000,108000.000000,0.000726,0.000364,0.003538,0.001528,0.000000,0.000000,0.000000,0.000000,1.417520,0.007940
1.770e+04,113900.000000,108000.000000,0.000704,0.000369,0.003610,0.001548,0.000000,0.000000,0.000000,0.000000,1.398290,0.008110
1.800e+04,113900.000000,108000.000000,0.000692,0.000374,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
1.830e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
1.860e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
1.890e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
1.920e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
1.950e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
1.980e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
2.010e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
2.040e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.369410,0.008290
2.070e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.366720,0.008290
2.100e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.364480,0.008290
2.130e+04,113900.000000,108000.000000,0.000000,0.000391,0.003675,0.001564,0.000000,0.000000,0.000000,0.000000,1.362170,0.008290
2.160e+04,113900.000000,108000.000000,0.000411,0.000381,0.003696,0.001564,0.000000,0.000000,0.000000,0.000000,1.359470,0.008290
2.190e+04,113900.000000,108000.000000,0.000116,0.000388,0.003718,0.001563,0.000000,0.000000,0.000000,0.000000,1.356170,0.008290
2.220e+04,113900.000000,108000.000000,0.000056,0.000389,0.003741,0.001563,0.000000,0.000000,0.000000,0.000000,1.352180,0.008290
2.250e+04,113900.000000,108000.000000,0.000000,0.000391,0.003764,0.001563,0.000000,0.000000,0.000000,0.000000,1.347590,0.008290
2.280e+04,113900.000000,108000.000000,0.000000,0.000391,0.003787,0.001563,0.000000,0.000000,0.000000,0.000000,1.342430,0.008290
2.310e+04,113900.000000,108000.000000,0.000000,0.000391,0.003810,0.001563,0.000000,0.000000,0.000000,0.000000,1.336710,0.008290
2.340e+04,113900.000000,108000.000000,0.000000,0.000391,0.003833,0.001563,0.000000,0.000000,0.000000,0.000000,1.330620,0.008290
2.370e+04,113900.000000,108000.000000,0.000000,0.000391,0.003856,0.001563,0.000000,0.000000,0.000000,0.000000,1.324180,0.008290
2.400e+04,113900.000000,108000.000000,0.000000,0.000391,0.003878,0.001563,0.000000,0.000000,0.000000,0.000000,1.317440,0.008290
2.430e+04,113900.000000,108000.000000,0.000000,0.000391,0.003901,0.001563,0.000000,0.000000,0.000000,0.000000,1.310610,0.008290
2.460e+04,113900.000000,108000.000000,0.000000,0.000391,0.003923,0.001563,0.000000,0.000000,0.000000,0.000000,1.303660,0.008290
2.490e+04,113900.000000,108000.000000,0.000000,0.000391,0.003945,0.001563,0.000000,0.000000,0.000000,0.000000,1.296600,0.008300
2.520e+04,113900.000000,108000.000000,0.000000,0.000391,0.003967,0.001563,0.000000,0.000000,0.000000,0.000000,1.289510,0.008300
2.550e+04,113900.000000,108000.000000,0.000000,0.000391,0.003989,0.001563,0.000000,0.000000,0.000000,0.000000,1.282610,0.008300
2.580e+04,113900.000000,108000.000000,0.000000,0.000391,0.004011,0.001563,0.000000,0.000000,0.000000,0.000000,1.275710,0.008300
2.610e+04,113900.000000,108000.000000,0.000000,0.000391,0.004034,0.001563,0.000000,0.000000,0.000000,0.000000,1.268840,0.008300
2.640e+04,113900.000000,108000.000000,0.000000,0.000391,0.004056,0.001563,0.000000,0.000000,0.000000,0.000000,1.261760,0.008300
